Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
EC,18/08/12,Kidderminster,Mansfield,2,3,A,1,1,D,9,15,6,10,9,13,5,3,1,3,0,0,2.38,3.4,2.63,2.3,3.3,2.7,2.3,3.3,2.7,2.3,3.1,2.6,2.38,3.2,2.6,2.39,3.59,3.01,2.38,3.3,2.5,2.4,3.3,2.88,2.4,3.5,2.9,2.5,3.3,2.5,35,2.5,2.39,3.59,3.26,3.01,2.74,20,1.74,1.67,2.2,2.12,17,-0.25,2.16,2.09,1.83,1.77
EC,18/08/12,Macclesfield,Dartford,2,0,H,1,0,H,18,6,8,2,8,7,5,2,0,0,0,0,1.67,3.8,4.33,1.67,3.5,4.4,1.67,3.5,4.4,1.6,3.4,4.6,1.62,3.5,4.5,1.68,4,5,1.62,3.5,4.5,1.67,3.75,4.8,1.7,3.9,5,1.57,3.75,5,35,1.73,1.65,4,3.6,5.2,4.9,20,1.85,1.76,2.08,2,17,-0.75,1.9,1.84,2.06,2.01
EC,18/08/12,Newport County,Lincoln,2,1,H,2,0,H,7,5,2,2,12,14,1,7,1,2,0,0,1.8,3.5,4,1.85,3.4,3.6,1.85,3.4,3.6,1.9,3.2,3.4,1.73,3.5,3.75,1.94,3.77,4,1.73,3.4,4,1.91,3.4,4,1.92,3.6,3.9,1.8,3.4,4,35,2,1.88,3.77,3.38,4.2,3.81,20,1.8,1.71,2.15,2.07,16,-0.5,1.94,1.88,2.02,1.97
EC,18/08/12,Tamworth,Stockport,1,0,H,1,0,H,21,8,11,3,14,11,4,4,0,2,0,0,2.5,3.4,2.5,2.4,3.2,2.65,2.5,3.2,2.65,2.3,3.1,2.6,2.4,3.4,2.4,2.45,3.54,2.95,2.4,3.25,2.5,2.5,3.3,2.75,2.5,3.4,2.8,2.62,3.4,2.38,35,2.75,2.46,3.54,3.24,2.95,2.69,29,1.92,1.84,2,1.94,15,0,1.82,1.77,2.16,2.09
EC,18/08/12,Woking,Barrow,3,1,H,1,1,D,11,9,7,3,9,13,4,3,1,3,0,0,2.2,3.5,2.8,2.1,3.1,3.2,2.1,3.1,3.2,2.3,3.1,2.6,2.1,3.25,2.9,2.3,3.39,3.32,2,3.3,3.4,2.25,3.4,3.13,2.25,3.3,3.3,1.95,3.4,3.5,35,2.35,2.24,3.5,3.24,3.75,3,29,2.11,2.02,1.8,1.77,17,-0.25,2.02,1.97,1.94,1.88
EC,24/08/12,Stockport,Gateshead,1,2,A,1,0,H,3,11,0,7,10,14,2,2,0,1,0,1,2.4,3.4,2.8,2.25,3.2,2.85,2.25,3.2,2.85,2.3,3.1,2.6,2.37,3.25,2.5,2.58,3.43,2.85,2.45,3.2,2.5,2.4,3.25,2.88,2.55,3.4,2.88,2.25,3.4,2.8,33,2.57,2.44,3.43,3.24,2.9,2.74,28,1.94,1.85,2,1.94,18,-0.25,2.21,2.14,1.8,1.74
EC,25/08/12,Barrow,Alfreton Town,1,3,A,0,1,A,10,11,4,6,14,9,7,5,1,0,0,0,2.05,3.4,3.5,2.1,3.2,3.1,2.1,3.2,3.1,2,3.1,3.2,2.1,3.2,3,2.08,3.61,3.67,2,3.25,3.2,2.1,3.4,3.4,2.15,3.5,3.5,2.2,3.4,2.88,32,2.25,2.06,3.61,3.27,3.67,3.31,19,1.88,1.78,2.02,1.98,15,-0.25,1.86,1.83,2.12,2.03
EC,25/08/12,Braintree Town,Newport County,1,2,A,0,0,D,6,8,2,3,8,14,5,3,3,3,0,0,3.1,3.3,2.3,2.75,3.3,2.25,2.75,3.3,2.25,2.7,3,2.3,2.62,3.3,2.25,2.91,3.56,2.46,2.7,3.4,2.2,2.88,3.25,2.38,3,3.5,2.4,2.88,3.25,2.25,32,3.15,2.86,3.56,3.24,2.46,2.3,19,1.72,1.67,2.25,2.11,14,0,2.2,2.13,1.81,1.76
EC,25/08/12,Dartford,Kidderminster,1,0,H,1,0,H,11,6,8,3,2,10,9,7,1,0,0,0,2.88,3.3,2.4,2.8,3.25,2.25,2.8,3.25,2.25,2.6,3.1,2.3,2.5,3.2,2.37,2.92,3.53,2.47,2.7,3.2,2.3,2.88,3.3,2.38,2.9,3.5,2.45,2.75,3.2,2.38,32,2.92,2.78,3.53,3.23,2.47,2.34,26,1.86,1.78,2.1,2.01,14,0.25,1.84,1.8,2.13,2.07
EC,25/08/12,Forest Green,Woking,3,1,H,0,1,A,16,8,9,3,14,9,8,2,1,3,0,0,1.83,3.6,4.2,1.67,3.5,4.4,1.67,3.5,4.4,1.8,3.3,3.6,1.66,3.6,4,1.92,3.71,4.2,1.85,3.3,3.6,1.8,3.6,4.33,1.83,3.5,4.75,1.67,3.4,5,32,1.92,1.78,3.71,3.45,4.5,4.04,26,1.93,1.86,2,1.92,15,-0.75,2.2,2.12,1.78,1.75
EC,25/08/12,Hereford,Ebbsfleet,4,2,H,2,0,H,21,8,14,5,7,7,7,5,1,2,0,1,1.67,3.6,5.25,1.57,3.75,4.75,1.57,3.75,4.75,1.55,3.5,4.8,1.57,3.75,4.5,1.66,4.2,5.24,1.62,3.75,4.33,1.62,3.75,5.25,1.65,4.1,5.4,1.57,3.6,5,31,1.67,1.6,4.2,3.71,5.5,4.9,19,1.7,1.63,2.3,2.19,15,-1,2.22,2.17,1.77,1.73
EC,25/08/12,Lincoln,Macclesfield,2,3,A,1,1,D,9,11,2,3,4,8,2,6,2,1,0,0,2.63,3.3,2.63,2.45,3.2,2.55,2.45,3.2,2.55,2.45,3.1,2.45,2.5,3.25,2.37,2.82,3.46,2.59,2.45,3.2,2.5,2.6,3.3,2.6,2.8,3.4,2.6,2.38,3.4,2.62,32,2.82,2.6,3.46,3.22,2.63,2.5,26,1.9,1.83,2.02,1.95,14,0,2.08,2.03,1.88,1.83
EC,25/08/12,Luton,AFC Telford United,0,1,A,0,1,A,6,1,3,1,8,10,9,2,2,4,1,2,1.4,4.5,7.5,1.3,4.33,8.75,1.3,4.33,8.75,1.35,4,7,1.33,4.5,7.5,1.43,4.71,8.25,1.35,4.2,7,1.36,4.33,8.5,1.4,4.6,9,1.3,4.5,9,31,1.43,1.38,4.71,4.25,9,7.77,19,1.87,1.76,2.05,2,15,-1.25,2.09,2.03,1.88,1.83
